filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
video11884.jpg,186715,"{}",0,0,"{}","{}"
video11891.jpg,181335,"{}",0,0,"{}","{}"
video11915.jpg,183957,"{}",0,0,"{}","{}"
video11934.jpg,176235,"{}",0,0,"{}","{}"
video11982.jpg,163659,"{}",1,0,"{""name"":""rect"",""x"":578,""y"":140,""width"":349,""height"":425}","{}"
video12029.jpg,167868,"{}",1,0,"{""name"":""rect"",""x"":555,""y"":177,""width"":387,""height"":392}","{}"
video12045.jpg,170163,"{}",1,0,"{""name"":""rect"",""x"":678,""y"":254,""width"":265,""height"":319}","{}"
video12049.jpg,167311,"{}",1,0,"{""name"":""rect"",""x"":651,""y"":192,""width"":300,""height"":378}","{}"
video12133.jpg,166945,"{}",1,0,"{""name"":""rect"",""x"":620,""y"":248,""width"":239,""height"":322}","{}"
video12152.jpg,167588,"{}",1,0,"{""name"":""rect"",""x"":699,""y"":267,""width"":238,""height"":305}","{}"
video12160.jpg,170112,"{}",1,0,"{""name"":""rect"",""x"":708,""y"":262,""width"":243,""height"":309}","{}"
video12183.jpg,175211,"{}",1,0,"{""name"":""rect"",""x"":715,""y"":270,""width"":233,""height"":303}","{}"
video12190.jpg,174267,"{}",1,0,"{""name"":""rect"",""x"":707,""y"":289,""width"":244,""height"":281}","{}"
video12213.jpg,174618,"{}",1,0,"{""name"":""rect"",""x"":681,""y"":294,""width"":267,""height"":275}","{}"
video12236.jpg,173656,"{}",1,0,"{""name"":""rect"",""x"":704,""y"":288,""width"":201,""height"":281}","{}"
video12241.jpg,173589,"{}",1,0,"{""name"":""rect"",""x"":691,""y"":304,""width"":215,""height"":267}","{}"
video12338.jpg,175631,"{}",2,0,"{""name"":""rect"",""x"":876,""y"":405,""width"":69,""height"":87}","{}"
video12338.jpg,175631,"{}",2,1,"{""name"":""rect"",""x"":711,""y"":306,""width"":164,""height"":264}","{}"
video12342.jpg,175555,"{}",2,0,"{""name"":""rect"",""x"":707,""y"":315,""width"":161,""height"":253}","{}"
video12342.jpg,175555,"{}",2,1,"{""name"":""rect"",""x"":880,""y"":405,""width"":65,""height"":93}","{}"
video12345.jpg,179136,"{}",2,0,"{""name"":""rect"",""x"":708,""y"":319,""width"":166,""height"":251}","{}"
video12345.jpg,179136,"{}",2,1,"{""name"":""rect"",""x"":881,""y"":400,""width"":64,""height"":95}","{}"
video12348.jpg,176319,"{}",2,0,"{""name"":""rect"",""x"":884,""y"":406,""width"":67,""height"":93}","{}"
video12348.jpg,176319,"{}",2,1,"{""name"":""rect"",""x"":714,""y"":327,""width"":184,""height"":246}","{}"
video12422.jpg,176448,"{}",3,0,"{""name"":""rect"",""x"":902,""y"":403,""width"":37,""height"":79}","{}"
video12422.jpg,176448,"{}",3,1,"{""name"":""rect"",""x"":859,""y"":396,""width"":41,""height"":121}","{}"
video12422.jpg,176448,"{}",3,2,"{""name"":""rect"",""x"":730,""y"":333,""width"":139,""height"":239}","{}"
video12432.jpg,176322,"{}",2,0,"{""name"":""rect"",""x"":733,""y"":330,""width"":152,""height"":240}","{}"
video12432.jpg,176322,"{}",2,1,"{""name"":""rect"",""x"":899,""y"":399,""width"":41,""height"":92}","{}"
video12454.jpg,178465,"{}",2,0,"{""name"":""rect"",""x"":730,""y"":345,""width"":145,""height"":225}","{}"
video12454.jpg,178465,"{}",2,1,"{""name"":""rect"",""x"":881,""y"":396,""width"":57,""height"":101}","{}"
video12479.jpg,178971,"{}",2,0,"{""name"":""rect"",""x"":883,""y"":398,""width"":52,""height"":115}","{}"
video12479.jpg,178971,"{}",2,1,"{""name"":""rect"",""x"":744,""y"":342,""width"":132,""height"":230}","{}"
video12484.jpg,178816,"{}",2,0,"{""name"":""rect"",""x"":747,""y"":338,""width"":143,""height"":235}","{}"
video12484.jpg,178816,"{}",2,1,"{""name"":""rect"",""x"":883,""y"":400,""width"":48,""height"":108}","{}"
video12540.jpg,179807,"{}",2,0,"{""name"":""rect"",""x"":858,""y"":402,""width"":53,""height"":113}","{}"
video12540.jpg,179807,"{}",2,1,"{""name"":""rect"",""x"":724,""y"":348,""width"":132,""height"":223}","{}"
video12557.jpg,177356,"{}",2,0,"{""name"":""rect"",""x"":855,""y"":404,""width"":49,""height"":107}","{}"
video12557.jpg,177356,"{}",2,1,"{""name"":""rect"",""x"":711,""y"":354,""width"":128,""height"":218}","{}"
video12560.jpg,180390,"{}",2,0,"{""name"":""rect"",""x"":713,""y"":360,""width"":127,""height"":213}","{}"
video12560.jpg,180390,"{}",2,1,"{""name"":""rect"",""x"":858,""y"":399,""width"":42,""height"":111}","{}"
video12635.jpg,180407,"{}",3,0,"{""name"":""rect"",""x"":883,""y"":400,""width"":49,""height"":119}","{}"
video12635.jpg,180407,"{}",3,1,"{""name"":""rect"",""x"":845,""y"":401,""width"":44,""height"":115}","{}"
video12635.jpg,180407,"{}",3,2,"{""name"":""rect"",""x"":711,""y"":358,""width"":123,""height"":215}","{}"
